AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code ,Council District,Total Units,Total Affordable Units,Total PSH Units ,Unit Type,Tenure,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Fee in Lieu Status,Calculated Fee In Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,RHDA ,OHDA,PA Bond ,CLT,DDB,ERC,MDA,MUD,MUDB,NBG,PUDDA,PUDDB,RNY,SMART,SMART-GF,TOD,UNO,VMU,VOL,2006 GO Bond ,2013 GO Bond,CDBG,HOME,HTF,CIP,UNO TF ,Total City Funding ,LIHTC ,Longitude,Latitude,Location
301,3816,Colony Park (PUD),Austin Housing Finance Corporation,Austin Housing Finance Corporation,0 Loyola,"78,724",1,"2,027",405,,Multifamily,Rental,Certified/Loan Executed,,,40,None,,0,0,0,405,0,0,"1,622",No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.633418,30.295864,"(30.295864, -97.633418)"
239,3620,Corazon,"Corazon Urban MF-East, LP","Corazon Urban MF-East, LP",1000 E 5th Street,"78,702",3,332,35,,Multifamily,Rental,Project Completed,2015,2055,40,None,,0,0,0,35,0,0,297,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,0,N/A,-97.732261,30.26434589,"(30.26434589, -97.732261)"
372,3959,Amli Eastside,"Riata Partners, LLC","Robertson Hill Land, Ltd.",1000 San Marcos Street,"78,702",1,290,29,,Multifamily,Rental,Project Completed,2016,2021,5,None,0,0,0,0,0,0,29,261,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.731273,30.268964,"(30.268964, -97.731273)"
650,5560,Domain Office Tower 3,SL Domain LP,SL Domain LP,10025 Alterra Pkwy,"78,758",7,0,0,0,Non-Residential,Non-Residential,Application Received,,,0,Pending,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,,,
55,3313,1002 Navasota,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Navasota,"78,702",1,1,1,,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.72672043,30.26771857,"(30.26771857, -97.72672043)"
12,3239,1002 Wheeless Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1002 Wheeless Street,"78,702",1,2,2,,Duplex,Rental,Project Completed,2007,2027,20,None,,0,0,0,2,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,"60,000.00",0,0,0,"60,000.00",N/A,-97.72775965,30.26797186,"(30.26797186, -97.72775965)"
55,3314,1007 Waller Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1007 Waller Street,"78,702",1,1,1,,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.7292821,30.26864625,"(30.26864625, -97.7292821)"
641,5517,1008 Brass Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1008 Brass Street,"78,702",3,1,1,0,Single Family,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.704386,30.26437,"(30.26437, -97.704386)"
641,5518,1008 Brass Street (ADU),Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1008 Brass Street,"78,702",3,1,1,0,ADU,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.704386,30.26437,"(30.26437, -97.704386)"
12,3243,1009 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1009 E 10th Street,"78,702",1,1,1,,Duplex,Rental,Project Completed,2005,2025,20,None,,0,0,0,1,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,"60,000.00",0,0,0,"60,000.00",N/A,-97.73057811,30.26842833,"(30.26842833, -97.73057811)"
209,3590,Ruth R. Schulze House,"University of Texas Inter-Cooperative Council, Inc.","University of Texas Inter-Cooperative Council, Inc.",915 W 22nd Street,"78,705",9,34,9,,Multifamily,Rental,Building Permit Issued,2018,2068,50,None,,0,0,9,0,0,0,25,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,0,0,0,0,0,0,"928,089.00","928,089.00",N/A,-97.74790896,30.28523998,"(30.28523998, -97.74790896)"
278,3755,Aspen West Campus,"Breckenridge Group West Campus, LP",Aspen Heights,1909 Rio Grande Street,"78,705",9,464,48,,Multifamily,Rental,Project Completed,2018,2058,40,Paid,"166,633.00",0,0,0,48,0,0,416,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,,,,,,,0,N/A,-97.744783,30.283589,"(30.283589, -97.744783)"
303,5412,Plaza Saltillo,Endeavor Real Estate Group,Endeavor Real Estate Group,1011 E 5th Street,"78,702",3,278,41,0,Multifamily,Rental,Building Permit Issued,,,40,None,0,0,0,41,0,0,0,237,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,0,N/A,-97.732588,30.263744,"(30.263744, -97.732588)"
288,3768,Villages at Fiskville,"LDG Multifamily, LLC",LDG Multifamily LLC,10127 Middle Fiskville Road,"78,753",4,172,155,,Multifamily,Rental,Building Permit Issued,2017,2032,15,None,,0,0,0,69,0,86,17,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,4%,-97.681344,30.364435,"(30.364435, -97.681344)"
13,3244,Garden Terrace Phase I,Garden Terrace Housing Corporation,"Foundation Communities, Inc.",1015 W William Cannon Drive,"78,745",2,85,85,0,Multifamily,Rental,Project Completed,2003,2033,30,None,,0,0,85,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,"500,000.00",0,0,0,"500,000.00",N/A,-97.79342653,30.19864089,"(30.19864089, -97.79342653)"
296,3795,Garden Terrace Phase III,"Foundation Communities, Inc.","Foundation Communities, Inc.",1015 W William Cannon Drive,"78,745",5,20,20,4,Multifamily,Rental,Building Permit Issued,2015,2055,40,None,,4,0,16,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,"1,200,000.00",0,"176,070.00",0,0,0,"1,376,070.00",N/A,-97.792919,30.198406,"(30.198406, -97.792919)"
3,3226,"Garden Terrace Expansion (aka Garden Terrace, Phase II)",Garden Terrace Housing Corporation,"Foundation Communities, Inc.",1015 W William Cannon Drive,"78,745",2,15,15,0,Multifamily,Rental,Project Completed,2007,2037,30,None,,0,0,15,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,0,"500,000.00",0,0,"500,000.00",N/A,-97.79342653,30.19864089,"(30.19864089, -97.79342653)"
617,5440,Primrose at Shadow Creek (fka Arbors Creekside),"Arbors Housing Partners, Ltd.",Unknown,1026 Clayton Lane,"78,723",1,176,176,0,Multifamily,Rental,Project Completed,2001,2021,20,None,0,0,0,0,176,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,4%,-97.704317,30.319659,"(30.319659, -97.704317)"
618,5441,Timbers Apartments,"Timbers Clayton 104 Apartments, L.P.",Unknown,1034 Clayton Lane,"78,723",1,104,104,0,Multifamily,Rental,Project Completed,2016,2091,75,None,0,0,0,0,104,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.703606,30.319351,"(30.319351, -97.703606)"
127,3512,The Paddock at Norwood,"LDG Norwood, LP",LDG Norwood,1044 Norwood Park Boulevard,"78,753",4,228,228,,Multifamily,Rental,Project Completed,2014,2019,5,None,,0,0,0,228,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,4%,-97.69155233,30.3365467,"(30.3365467, -97.69155233)"
658,5569,North Burnet Gateway Plaza,Dailey Robson Enterprises LLC; CCP Burnet LLC,Dailey Robson Enterprises LLC; CCP Burnet LLC,10615 Burnet Road,"78,758",7,0,0,0,Non-Residential,Non-Residential,Certified/Loan Executed,,,0,Pending,"2,718,527.00",0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.72192,30.39005,"(30.39005, -97.72192)"
74,3391,Parkwest Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,10616 Mellow Meadows Drive,"78,750",6,1,1,0,Single Family,Rental,Project Completed,2014,2112,99,None,,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,"55,055.33",0,0,0,0,"55,055.33",N/A,-97.80172791,30.460423,"(30.460423, -97.80172791)"
113,3712,Green Doors - Dessau Road,Green Doors,Green Doors,10620 Dessau Road,"78,754",1,60,60,,Single Family,Rental,Project Cancelled,,,5,None,,0,0,60,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.668584,30.364644,"(30.364644, -97.668584)"
360,3931,HPI-Domain Office,HPI Real Estate Services & Investments,Big Red Dog,10721 Domain Drive,"78,758",7,0,0,,Multifamily,Rental,Project Completed,,,0,Paid,"581,536.00",0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.726734,30.39543,"(30.39543, -97.726734)"
517,5245,Flatiron Domain,"SL Domain LP, Michael Massad 214-965-0630",Big Red Dog,10727 Domain Drive,"78,758",7,363,39,0,Multifamily,Rental,Building Permit Issued,,,0,Paid,"245,772.00",0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.725581,30.393743,"(30.393743, -97.725581)"
389,4182,Highland Phase II South,Austin Community College District,"Redleaf Properties, LLC/Austin Community College District",109 Jacob Fontaine Lane,"78,752",4,168,17,,Multifamily,Rental,Building Permit Issued,,,0,None,0,0,0,0,0,0,17,151,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,0,N/A,-97.714668,30.324758,"(30.324758, -97.714668)"
55,3311,1100 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1100 E 10th Street,"78,702",1,1,1,0,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.72934019,30.26843907,"(30.26843907, -97.72934019)"
327,3862,GNDC - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1100 E Cesar Chavez Street,"78,702",3,1,1,,Single Family,Rental,Certified/Loan Executed,,,5,None,,0,0,0,1,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.733341,30.260422,"(30.260422, -97.733341)"
224,3605,Lamar Union Apartments,Greystar Real Estate Partners,Greystar Real Estate Partners,1100 S Lamar Boulevard,"78,704",5,441,44,,Multifamily,Rental,Project Completed,2015,2055,40,None,,0,0,0,44,0,0,397,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,0,N/A,-97.76185675,30.25598205,"(30.25598205, -97.76185675)"
357,3921,The Villages at The Domain,"EGP Management, L.L.C.","EGP Management, L.L.C.",11011 Domain Drive,"78,758",7,436,3,,Multifamily,Rental,Project Completed,2010,2028,18,None,,0,0,0,0,3,0,433,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.725756,30.396506,"(30.396506, -97.725756)"
161,3542,Cardinal Point Apartments,"Foundation Communities, Inc.","Foundation Communities, Inc.",11015 Four Points Drive,"78,730",6,120,120,12,Multifamily,Rental,Project Completed,2015,2055,40,None,,12,0,60,48,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,"2,575,000.00",0,0,0,0,0,"2,575,000.00",9%,-97.84577071,30.39907683,"(30.39907683, -97.84577071)"
613,5435,Runnymeade Apartments,"SAAHC Runnymeade Apartments, L.P.",Unknown,1101 Rutland Drive,"78,758",4,252,252,0,Multifamily,Rental,Project Completed,2007,2027,20,None,0,0,0,0,252,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,4%,-97.702694,30.366941,"(30.366941, -97.702694)"
641,5516,1103 Clermont Avenue (ADU),Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1103 Clermont Avenue,"78,702",3,1,1,0,ADU,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.735987,30.254396,"(30.254396, -97.735987)"
327,3864,GNDC - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1103 Clermont Avenue,"78,702",3,1,1,,Single Family,Rental,Certified/Loan Executed,,,5,None,,0,0,0,1,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.735982,30.254406,"(30.254406, -97.735982)"
303,5413,Plaza Saltillo,Endeavor Real Estate Group,Endeavor Real Estate Group,1109 E 5th Street,"78,702",3,278,0,0,Multifamily,Rental,Building Permit Issued,,,0,None,0,0,0,0,0,0,0,278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,0,N/A,-97.731559,30.263401,"(30.263401, -97.731559)"
17,3249,1109 Spearson Lane,Green Doors,Community Partnerships for the Homeless,1109 Spearson Lane,"78,745",2,3,3,,Single Family,Rental,Project Completed,2002,2022,20,None,,0,0,3,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,0,"23,966.66",0,0,0,0,"23,966.66",N/A,-97.79420218,30.20138457,"(30.20138457, -97.79420218)"
56,3315,110 Chicon Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,110 Chicon Street,"78,702",3,2,2,0,Single Family,Rental,Project Completed,2003,2023,20,None,,0,0,0,0,0,2,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"65,000.00",0,0,0,"65,000.00",N/A,-97.72453329,30.25794518,"(30.25794518, -97.72453329)"
390,4183,Highland Phase II - North,Austin Community College District,"Redleaf Properties, LLC/Austin Community College District",110 Jacob Fontaine Lane,"78,752",4,222,22,,Multifamily,Rental,Building Permit Issued,,,40,None,0,0,0,0,0,0,22,200,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,0,N/A,-97.714668,30.324758,"(30.324758, -97.714668)"
361,3932,North Shore Apartments (GWTP MDA),TCC/CVI Development Group,"TC Green Water Master Developer, LLC",110 San Antonio Street,"78,701",9,439,50,,Multifamily,Rental,Project Completed,2016,2056,40,None,,0,0,0,0,0,50,389,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.749563,30.265385,"(30.265385, -97.749563)"
55,3312,1112 E 10th Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1112 E 10th Street,"78,702",1,1,1,,Single Family,Rental,Project Completed,2001,2021,20,None,,0,0,0,0,0,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"25,000.00",0,0,0,"25,000.00",N/A,-97.72826475,30.26820529,"(30.26820529, -97.72826475)"
641,5519,1113 E 9th St (Duplex),Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1113 E 9th St,"78,702",1,1,1,0,Duplex,Rental,Application Received,,,0,None,0,0,0,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.728787,30.26678,"(30.26678, -97.728787)"
403,4407,Jobe House Resubdivision,,Guadalupe Neighborhood Development Corporation,1113 East 9th Street,"78,702",1,4,4,,Single Family,Rental,Certified/Loan Executed,,,5,None,0,0,0,2,0,0,2,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.728796,30.266746,"(30.266746, -97.728796)"
146,3528,WBP Apartments,AMTEX,AMTEX,1114 Wells Branch Parkway,"78,660",7,240,240,,Multifamily,Rental,Certified/Loan Executed,,,5,None,,0,0,58,0,0,182,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.65996331,30.43953061,"(30.43953061, -97.65996331)"
30,3275,1116 Harvard Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,1116 Harvard Street,"78,702",1,1,1,,Single Family,Rental,Project Completed,2009,2108,99,None,,0,0,0,1,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"16,666.66",0,0,"78,750.00",0,0,0,"95,416.66",N/A,-97.71623872,30.26723972,"(30.26723972, -97.71623872)"
122,3507,Lakeside Engineering - Duplexes,Lakeside Engineering,Lakeside Engineering,1123 Walton Lane,"78,721",3,2,1,,Duplex,Rental,Project Completed,2015,2020,5,None,,0,0,0,0,0,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.687279,30.259234,"(30.259234, -97.687279)"
67,3384,Cross Creek Apartments,TMG - TX Austin II,"The Muholland Group, LLC",1124 Rutland Drive,"78,758",4,200,200,,Multifamily,Rental,Project Cancelled,2014,2054,40,None,,20,0,0,180,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.7037204,30.36871135,"(30.36871135, -97.7037204)"
122,5243,Lakeside Engineering - Duplexes,Lakeside Engineering,Lakeside Engineering,1125 Walton Lane,"78,721",3,4,2,0,Duplex,Rental,Project Completed,2017,2022,5,None,0,0,0,0,0,0,2,2,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.687285,30.259463,"(30.259463, -97.687285)"
122,5244,Lakeside Engineering - Duplexes,Lakeside Engineering,Lakeside Engineering,1125 Walton Lane,"78,721",3,2,0,0,Duplex,Rental,Project Completed,,,0,None,0,0,0,0,0,0,0,2,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.687285,30.259463,"(30.259463, -97.687285)"
420,4475,Orchard Plaza,1209 East Apartments/Yellow 52 Investments,,1127 E 52nd Street,"78,723",4,0,0,0,Multifamily,Rental,Certified/Loan Executed,,,15,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.707725,30.30916,"(30.30916, -97.707725)"
58,3321,SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1129 Altum Street,"78,702",1,2,2,,Duplex,Rental,Project Completed,2009,2049,40,None,,0,0,0,2,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"174,999.99","39,250.00",0,0,"214,249.99",N/A,-97.71731982,30.27039712,"(30.27039712, -97.71731982)"
160,3541,LaMadrid Apartments,LaMadrid Apartments LLC,LaMadrid Apartments LLC,11320 Manchaca Road,"78,748",5,95,83,10,Multifamily,Rental,Project Completed,2018,2058,40,None,,9,0,34,40,0,0,12,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0,"3,300,000.00",0,0,0,0,0,"3,300,000.00",9%,-97.82835765,30.16590014,"(30.16590014, -97.82835765)"
58,3323,SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1133 Altum Street,"78,702",1,2,2,,Duplex,Rental,Project Completed,2009,2049,40,None,,0,0,0,2,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,"174,999.99","39,250.00",0,0,"214,249.99",N/A,-97.71731982,30.27039712,"(30.27039712, -97.71731982)"
357,3920,The Residences at The Domain,"EGP Management, L.L.C.","EGP Management, L.L.C.",11400 Domain Drive,"78,758",7,390,39,,Multifamily,Rental,Project Completed,2007,2027,20,None,,0,0,0,0,39,0,351,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.72493,30.400623,"(30.400623, -97.72493)"
163,3544,Azul 620,"Austin DMA Housing II, LLC",Austin DMA Housing II,11411 N Ranch Road 620,"78,726",6,120,110,,Multifamily,Rental,Certified/Loan Executed,,,5,None,,11,0,44,55,0,0,10,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.825747,30.451621,"(30.451621, -97.825747)"
130,3515,ThinkEast PUD,ThinkEast Austin MGT,ThinkEast Austin MGT,1141 Shady Lane,"78,721",3,184,0,,Multifamily,Rental,Certified/Loan Executed,,,0,None,,0,0,0,0,0,0,184,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.69109856,30.26269988,"(30.26269988, -97.69109856)"
130,4405,1141 Shady Lane Mixed Use,ThinkEast Austin MGT,ThinkEast Austin MGT,1141 Shady Lane,"78,721",3,3,2,,Multifamily,Rental,Building Permit Issued,,,10,None,0,0,0,0,1,0,1,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.690803,30.262632,"(30.262632, -97.690803)"
110,3751,Summit Oaks,Housing Authority of Travis County,Housing Authority of Travis County,11607 Sierra Nevada,"78,759",10,24,24,,Multifamily,Rental,Project Completed,2018,2023,5,None,,0,0,0,24,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,9%,-97.75509,30.421089,"(30.421089, -97.75509)"
47,3304,Elm Ridge Apartments,"Elm Ridge Affordable Partners, Ltd.",Unknown,1161 Harvey Street,"78,702",1,130,130,0,Multifamily,Rental,Project Completed,2010,2109,99,None,,0,0,130,0,0,0,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"2,500,000.00",0,0,0,0,0,0,"2,500,000.00",4%,-97.70241945,30.27488959,"(30.27488959, -97.70241945)"
424,4508,The Heights at Lamar,Generations Housing Partners LLC,"TX Lamar 2018, Ltd",11630 N Lamar Boulevard,"78,753",7,120,108,0,Multifamily,Rental,Project Cancelled,,,0,None,0,0,0,0,108,0,0,12,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.685709,30.386442,"(30.386442, -97.685709)"
640,5513,Foundation Village,"Foundation Communities, Inc","Foundation Communities, Inc.",11704 and 11706 N Lamar Blvd,"78,753",7,88,88,0,Multifamily,Rental,Application Received,,,0,None,0,18,26,44,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.684527,30.386674,"(30.386674, -97.684527)"
321,4185,Estancia Villas,SLF III Onion Creek LP,"Estancia Villas, LLC",1200 Estancia Parkway,"78,748",5,312,31,,Multifamily,Rental,Project Completed,2018,2058,40,None,0,0,0,0,31,0,0,281,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.806329,30.123555,"(30.123555, -97.806329)"
335,4465,Jeremiah House,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1200 Paul Theresa Saldana Street,"78,702",3,35,35,0,Multifamily,Rental,Project Completed,2016,2115,99,None,0,0,0,35,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"215,833.33","2,000,000.00",0,0,0,0,0,"2,215,833.33",N/A,-97.703014,30.269267,"(30.269267, -97.703014)"
644,5533,1200 W 25th Street,"2501 N Lamar, LLC","2501 N Lamar, LLC",1200 W 25th Street,"78,756",9,119,12,0,Multifamily,Rental,Certified/Loan Executed,,,0,None,0,0,0,0,0,0,12,107,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,0,N/A,-97.75105,30.29015,"(30.29015, -97.75105)"
303,5414,Plaza Saltillo,Endeavor Real Estate Group,Endeavor Real Estate Group,1201 E 5th Street,"78,702",3,162,0,0,Multifamily,Rental,Building Permit Issued,,,0,None,0,0,0,0,0,0,0,162,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,0,N/A,-97.730544,30.263034,"(30.263034, -97.730544)"
48,3305,The Boulevard,UCP Austin Housing I,Easter Seals of Central Texas,1201 Grove Boulevard,"78,741",3,6,6,0,Multifamily,Rental,Affordability Period Expired,2005,2015,10,None,,0,0,6,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,"181,717.00",0,0,0,0,"181,717.00",N/A,-97.70402253,30.23419148,"(30.23419148, -97.70402253)"
420,4476,Orchard Plaza,1209 East Apartments/Yellow 52 Investments,,1205 E 52nd Street,"78,723",4,0,0,0,Multifamily,Rental,Certified/Loan Executed,,,15,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.707429,30.30906,"(30.30906, -97.707429)"
335,4464,Guadalupe Saldana - Duplex,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1208 Paul Theresa Saldana Street,"78,702",3,2,2,,Duplex,Rental,Project Completed,2013,2112,99,None,0,0,0,2,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"162,333.33",0,"76,923.08",0,0,0,0,"239,256.41",N/A,-97.703096,30.269601,"(30.269601, -97.703096)"
420,4477,1209 East Apartments,1209 East Apartments/Yellow 52 Investments,,1209 E 52nd Street,"78,723",4,0,0,0,Multifamily,Rental,Project Completed,2017,2032,15,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.707146,30.308804,"(30.308804, -97.707146)"
277,3743,1211 Inks Avenue,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1211 Inks Avenue,"78,702",1,2,2,,Duplex,Rental,Project Completed,2016,2021,5,None,,0,0,0,1,0,1,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.727998,30.26597,"(30.26597, -97.727998)"
